Family,species_name,max_length_m,max_mass_kg,max_mass_max_length_ratio,dentition,migratory_behaviour,max_diving_depth,average_group_size,prey_choice,confidence_max_length,confidence_max_mass,confidence_mass_length_ratio,confidence_dentition,confidence_migratory_behaviour,confidence_max_diving_depth,confidence_group_size,confidence_prey_choice,PCEEZ,Global
ZIPHIIDAE,Mesoplodon_perrini,small,large,medium,NFCT,Migratory,bathypelagic,Small,cephalopods,1,1,1,1,1,0,1,1,0,1
ZIPHIIDAE,Mesoplodon_peruvianus,small,intermediate,medium,NFCT,Migratory,bathypelagic,Small,cephalopods,1,1,1,1,1,0,1,1,0,1
ZIPHIIDAE,Mesoplodon_stejnegeri,intermediate,large,medium,NFCT,Migratory,bathypelagic,Small,cephalopods,1,1,1,1,1,1,1,1,1,1
ZIPHIIDAE,Mesoplodon_traversii,intermediate,large,medium,NFCT,Migratory,bathypelagic,Small,cephalopods,0,1,0,1,0,0,1,1,0,1
MONODONTIDAE,Monodon_monoceros,small,large,medium,NFCT,Migratory,bathypelagic,Medium_Small,fish,1,1,1,1,1,1,1,1,0,1
PHOCOENIDAE,Neophocaena_asiaeorientalis,small,small,low,FCT,Non-Migratory,epipelagic,Small,fish,1,1,1,1,1,0,1,1,0,1
PHOCOENIDAE,Neophocaena_phocaenoides,small,intermediate,medium,FCT,Non-Migratory,epipelagic,Small,cephalopods,1,1,1,1,1,1,1,1,0,1
DELPHINIDAE,Orcaella_brevirostris,small,intermediate,low,FCT,Non-Migratory,epipelagic,Small,fish,1,1,1,1,1,1,1,1,0,1
DELPHINIDAE,Orcaella_heinsohni,small,intermediate,low,FCT,Non-Migratory,epipelagic,Small,fish,1,1,1,1,1,1,1,1,0,1
DELPHINIDAE,Orcinus_orca,intermediate,large,medium,FCT,Mixed,upper_mesopelagic,Medium,high_vertebrates,1,1,1,1,1,1,1,1,1,1
DELPHINIDAE,Peponocephala_electra,small,intermediate,medium,FCT,Non-Migratory,upper_mesopelagic,Large,cephalopods,1,1,1,1,1,1,1,1,0,1
PHOCOENIDAE,Phocoena_dioptrica,small,intermediate,low,FCT,Migratory,epipelagic,Small,fish,1,1,1,1,1,0,1,1,0,1
PHOCOENIDAE,Phocoena_phocoena,small,small,low,FCT,Mixed,upper_mesopelagic,Small,fish,1,1,1,1,1,1,1,1,1,1
PHOCOENIDAE,Phocoena_sinus,small,small,low,FCT,Non-Migratory,epipelagic,Solitary,fish,1,1,1,1,1,1,1,1,0,1
PHOCOENIDAE,Phocoena_spinipinnis,small,small,low,FCT,Non-Migratory,epipelagic,Medium_Small,fish,1,1,1,1,1,0,1,1,0,1
PHOCOENIDAE,Phocoenoides_dalli,small,intermediate,low,FCT,Migratory,upper_mesopelagic,Medium_Small,cephalopods,1,1,1,1,1,1,1,1,1,1
PHYSETERIDAE,Physeter_macrocephalus,very_large,very_large,high,FCT,Mixed,bathypelagic,Medium,cephalopods,1,1,1,1,1,1,1,1,1,1
