Lats,Longs
49.75357908,-135.0108378
49.75239442,-135.0091211
49.74765843,-135.0022425
49.74647632,-135.0005217
49.74411412,-134.997075
49.7429349,-134.9953504
49.7346114,-134.9831509
49.73357291,-134.9816259
49.73149686,-134.9785711
49.73046015,-134.9770425
49.72631515,-134.9709186
49.72528047,-134.9693869
49.72321263,-134.9663194
49.72218031,-134.9647848
49.71392184,-134.9524857
49.71289147,-134.9509484
49.7108317,-134.9478688
49.70980314,-134.9463277
49.70569078,-134.9401543
49.70466426,-134.9386102
49.70261277,-134.935518
49.70158863,-134.9339711
49.69339571,-134.9215733
49.69237354,-134.9200237
49.69033019,-134.9169194
49.68930984,-134.9153662
49.68523038,-134.9091436
49.68421209,-134.9075872
49.68217709,-134.9044705
49.68116119,-134.9029114
49.67303434,-134.8904159
49.67202043,-134.8888541
49.66999362,-134.8857255
49.66898155,-134.88416
49.66493526,-134.8778888
49.66392527,-134.8763203
49.66190687,-134.8731794
49.66089928,-134.8716082
49.65283904,-134.8590158
49.65183345,-134.8574419
49.64982331,-134.8542891
49.64881959,-134.8527116
49.64480672,-134.8463922
49.64380509,-134.8448117
49.64180343,-134.8416467
49.64080421,-134.8400635
49.63281108,-134.8273752
49.63181388,-134.8257893
49.6307491,-134.8240925
49.62798593,-134.8198625
49.62671805,-134.8179169
49.62414857,-134.8139638
49.62286587,-134.8119853
49.617739,-134.8040571
49.61645964,-134.8020738
49.61390363,-134.7981009
49.61262803,-134.796113
49.60242655,-134.7801775
49.60115415,-134.7781852
49.5986114,-134.7741934
49.59734209,-134.7721956
49.59226884,-134.7641903
49.59100289,-134.7621877
49.58847375,-134.7581763
49.58721158,-134.7561692
49.57711787,-134.7400803
49.57585895,-134.7380689
49.57334319,-134.7340389
49.57208739,-134.732022
49.56706827,-134.7239405
49.56581586,-134.7219189
49.56331385,-134.7178695
49.56206526,-134.7158435
49.55208035,-134.6996031
49.55083503,-134.6975727
49.54834653,-134.693505
49.54710436,-134.6914693
49.54213989,-134.6833125
49.54090116,-134.681272
49.53842653,-134.6771852
49.53719163,-134.6751404
49.52731654,-134.6587503
49.52608495,-134.6567014
49.52362395,-134.6525964
49.52239555,-134.650542
49.51748624,-134.6423109
49.5162613,-134.6402519
49.51381431,-134.636128
49.51259324,-134.6340647
49.50282898,-134.6175269
49.50161124,-134.6154595
49.499178,-134.6113176
49.49796349,-134.6092449
49.49310984,-134.6009404
49.49189882,-134.5988631
49.48947971,-134.5947026
49.4882726,-134.5926211
49.47862015,-134.5759373
49.47741639,-134.5738517
49.47501116,-134.5696736
49.47381067,-134.5675827
49.46901316,-134.5592057
49.46781619,-134.5571103
49.46542521,-134.5529137
49.46423217,-134.5508142
49.45469254,-134.5339865
49.45350288,-134.5318829
49.45112589,-134.5276689
49.44993954,-134.5255601
49.44519867,-134.5171116
49.44401587,-134.5149984
49.44165326,-134.5107662
49.44047442,-134.5086489
49.43104856,-134.4916791
49.42920817,-134.4883527
49.42553511,-134.4816863
49.42370356,-134.4783484
49.41639187,-134.4649695
49.41456932,-134.4616212
49.41093229,-134.4549116
49.40918993,-134.4516845
49.39463092,-134.4246127
49.39283616,-134.4212629
49.38924214,-134.4145269
49.38745014,-134.4111543
49.38022533,-134.3975022
49.37987043,-134.3968314
49.37809208,-134.3934552
49.37482714,-134.3872309
49.37321799,-134.3841516
49.37277566,-134.3833019
49.36848431,-134.3752367
49.3678042,-134.3739567
49.36644446,-134.3713936
49.36491692,-134.3685037
49.36322232,-134.3652862
49.36237688,-134.3636777
49.35021559,-134.3405044
49.34965752,-134.33944
49.34854063,-134.337307
49.34798279,-134.3362403
49.34575096,-134.3319671
49.3441768,-134.3289418
49.34103545,-134.322882
49.33946868,-134.3198484
49.33542626,-134.3119925
49.33441743,-134.3100274
49.33240227,-134.3060925
49.3313895,-134.3041102
49.33077915,-134.3029125
49.33029339,-134.3019588
49.32332485,-134.288273
49.32217833,-134.2860155
49.31988943,-134.2814961
49.3187473,-134.2792347
49.31418446,-134.2701762
49.31304633,-134.2679106
49.31077346,-134.2633737
49.30963965,-134.2611041
49.30057611,-134.2429161
49.29944613,-134.2406428
49.29718898,-134.2360893
49.29606273,-134.2338108
49.29156322,-134.2246837
49.29044099,-134.2224011
49.28819999,-134.2178303
49.28708227,-134.2155442
49.27586667,-134.1925484
49.27446897,-134.1896736
49.27167848,-134.1839137
49.27028682,-134.1810311
49.2700063,-134.180448
48.85086336,-133.3893864
48.40837788,-132.5841728
48.40748449,-132.5826592
48.4062814,-132.5806156
48.40147351,-132.5724279
48.40027394,-132.5703799
48.39787777,-132.5662781
48.39668213,-132.564226
48.38712175,-132.547778
48.3859295,-132.5457219
48.38354735,-132.5416029
48.3823584,-132.5395416
48.37760719,-132.5312835
48.3764218,-132.5292179
48.37405402,-132.525081
48.37287259,-132.5230114
48.36342607,-132.5064234
48.36224806,-132.5043498
48.35989442,-132.5001959
48.35871974,-132.4981173
48.35402569,-132.4897897
48.3528546,-132.4877067
48.35051547,-132.4835352
48.34934836,-132.4814483
48.34001667,-132.4647222
48.33885301,-132.4626314
48.33652813,-132.4584431
48.33536784,-132.4563473
48.33073144,-132.4479511
48.3298678,-132.4463841
48.32957477,-132.445851
48.3272645,-132.4416453
48.32611185,-132.4395414
48.31689594,-132.4226791
48.31574675,-132.4205713
48.31345085,-132.4163491
48.31230488,-132.414236
48.30769674,-132.4057169
48.3065401,-132.403573
48.30428882,-132.3993889
48.30316541,-132.3972954
48.29406622,-132.3802987
48.29368479,-132.3795858
48.29292112,-132.3781572
48.2925396,-132.3774428
48.2910127,-132.3745813
48.28987978,-132.3724524
48.28761749,-132.3681899
48.28648843,-132.3660568
48.28349562,-132.3603877
48.28274874,-132.3589705
48.28125622,-132.3561334
48.28051039,-132.3547132
48.271337,-132.337218
48.27057113,-132.3357565
48.26960999,-132.3339209
48.26854186,-132.3318755
48.26643011,-132.3278214
48.26537621,-132.3257929
48.261166,-132.3176695
48.26011564,-132.3156378
48.25801773,-132.3115697
48.25697099,-132.3095347
48.24936745,-132.2947179
48.2484192,-132.2928662
48.24652449,-132.2891577
48.2455788,-132.2873024
48.24179947,-132.2798712
48.24085653,-132.2780129
48.23897296,-132.2742923
48.2380331,-132.2724314
48.23024906,-132.2569873
48.22927837,-132.2550572
48.22733897,-132.2511915
48.22637105,-132.2492575
48.22250321,-132.2415112
48.22153825,-132.2395741
48.21961085,-132.2356956
48.21864919,-132.2337558
48.21096013,-132.2182113
48.21000131,-132.2162686
48.20808568,-132.2123779
48.20712965,-132.2104315
48.20330945,-132.2026353
48.20235641,-132.2006858
48.20045286,-132.1967824
48.19950313,-132.1948302
48.19190966,-132.1791866
48.19096279,-132.1772316
48.18907109,-132.1733162
48.18812703,-132.1713574
48.18435477,-132.1635121
48.18341371,-132.1615503
48.18153417,-132.1576224
48.18059645,-132.155658
48.17309918,-132.1399167
48.17216433,-132.1379495
48.17029671,-132.1340098
48.16936469,-132.1320389
48.16564068,-132.124145
48.16471169,-132.1221711
48.1628563,-132.1182191
48.16193066,-132.1162426
48.15453019,-132.1004049
48.15360744,-132.0984257
48.15176405,-132.094462
48.15084415,-132.0924792
48.14716868,-132.0845375
48.14625183,-132.0825516
48.14442075,-132.0785758
48.14350726,-132.0765874
48.13620418,-132.0606547
48.1352936,-132.0586637
48.13347458,-132.0546763
48.13256688,-132.0526816
48.12894025,-132.0446928
48.1280356,-132.0426952
48.12622897,-132.0386958
48.12532771,-132.0366957
48.11812261,-132.0206694
48.11722427,-132.0186667
48.11542977,-132.014656
48.11453434,-132.0126497
48.11294492,-132.0090798
48.10755175,-132.0027004
48.10612946,-132.0010137
48.10328713,-131.9976338
48.10186823,-131.995942
48.09051796,-131.9823753
48.08910192,-131.9806786
48.08627134,-131.9772779
48.08485794,-131.9755752
48.07920729,-131.9687504
48.07779688,-131.9670425
48.07497834,-131.9636203
48.07357135,-131.9619074
48.06231659,-131.948172
48.06091249,-131.9464542
48.05810585,-131.9430114
48.05670444,-131.9412878
48.05110183,-131.9343791
48.04970344,-131.9326502
48.04690898,-131.9291861
48.04551405,-131.9274524
48.03435598,-131.9135499
48.03296397,-131.9118113
48.03018156,-131.9083269
48.02879228,-131.9065825
48.0232383,-131.8995907
48.02185208,-131.8978411
48.01908201,-131.8943356
48.01769928,-131.8925811
48.00663906,-131.8785134
48.00580201,-131.8774473
48.0052593,-131.8767542
48.00250141,-131.8732285
48.00112441,-131.8714635
47.99561964,-131.8643895
47.99424573,-131.8626194
47.99150034,-131.8590729
47.99012996,-131.857298
47.97902038,-131.8428739
47.97827719,-131.8419083
47.97690976,-131.8401266
47.9747715,-131.8373331
47.97370371,-131.8359352
47.96824873,-131.8287798
47.96688728,-131.8269894
47.96416684,-131.8234024
47.96280814,-131.8216061
47.95176711,-131.8069744
47.95120539,-131.8062298
47.94983085,-131.8044026
47.94712259,-131.8007928
47.94577041,-131.7989857
47.94074663,-131.7922548
47.93949276,-131.7905708
47.93698713,-131.7871975
47.93573645,-131.7855096
47.92487716,-131.7708216
47.9235229,-131.7689854
47.92081623,-131.7653058
47.91946492,-131.7634639
47.91406327,-131.7560822
47.91271521,-131.7542353
47.91002168,-131.7505351
47.90867729,-131.7486835
47.89811945,-131.7341063
47.89680235,-131.7322835
47.89416995,-131.7286309
47.89285572,-131.7268025
47.88760233,-131.7194757
47.88629128,-131.7176426
